Date,Open,High,Low,Close,Adj Close,Volume
2023-06-30,15.480000,15.800000,15.230000,15.330000,15.330000,42081000
2023-07-03,15.490000,15.590000,15.190000,15.520000,15.520000,26037400
2023-07-05,15.425000,15.770000,15.230000,15.700000,15.700000,39179900
2023-07-06,15.320000,15.383000,14.620000,15.130000,15.130000,56534000
2023-07-07,15.230000,15.900000,15.190000,15.340000,15.340000,48109800
2023-07-10,15.370000,16.330000,14.945000,16.299999,16.299999,62823600
2023-07-11,16.469999,16.930000,16.150000,16.490000,16.490000,63236600
2023-07-12,16.780001,16.940001,16.410000,16.590000,16.590000,50079400
2023-07-13,16.700001,17.260000,16.631001,16.740000,16.740000,58397800
2023-07-14,16.760000,17.000000,16.270000,16.400000,16.400000,45018700
2023-07-17,16.420000,17.590000,16.320000,17.400000,17.400000,63505000
2023-07-18,17.879999,18.129999,17.190001,18.080000,18.080000,87365700
2023-07-19,18.020000,18.995001,17.760000,18.049999,18.049999,89044600
2023-07-20,17.540001,18.000000,16.980000,17.129999,17.129999,62711600
2023-07-21,17.469999,17.490000,16.000000,16.430000,16.430000,63260300
2023-07-24,16.610001,16.690001,16.120001,16.320000,16.320000,36133600
2023-07-25,16.350000,16.860001,16.350000,16.549999,16.549999,36612900
2023-07-26,16.400000,16.690001,16.129999,16.430000,16.430000,35804800
2023-07-27,16.799999,17.190001,16.000000,16.150000,16.150000,50685200
2023-07-28,17.209999,17.969999,16.740000,17.809999,17.809999,106125600
2023-07-31,18.820000,19.995001,18.379999,19.840000,19.840000,142173800
2023-08-01,19.459999,20.240000,19.230000,19.990000,19.990000,99336200
2023-08-02,19.260000,19.620001,18.150000,18.969999,18.969999,98215800
2023-08-03,18.629999,19.299999,18.610001,18.709999,18.709999,54345900
2023-08-04,18.874001,19.080000,18.080000,18.200001,18.200001,71979800
2023-08-07,18.250000,18.389999,17.010000,17.990000,17.990000,133808400
2023-08-08,17.490000,17.490000,16.100000,17.040001,17.040001,143014200
2023-08-09,16.760000,16.920000,15.100000,15.250000,15.250000,126230400
2023-08-10,15.440000,15.870000,15.250000,15.410000,15.410000,73129100
2023-08-11,15.050000,15.580000,14.910000,15.410000,15.410000,56489900
2023-08-14,15.200000,15.740000,14.950000,15.720000,15.720000,47511400
2023-08-15,15.610000,15.870000,15.290000,15.370000,15.370000,44000400
2023-08-16,15.210000,15.725000,15.120000,15.450000,15.450000,40394600
2023-08-17,15.390000,15.437000,14.035000,14.150000,14.150000,91086700
2023-08-18,13.880000,14.600000,13.680000,14.400000,14.400000,70047000
2023-08-21,14.420000,14.780000,14.340000,14.500000,14.500000,43206200
2023-08-22,14.760000,15.130000,14.630000,14.670000,14.670000,52106900
2023-08-23,14.500000,15.470000,14.420000,15.300000,15.300000,53523300
2023-08-24,15.700000,15.710000,13.875000,14.140000,14.140000,93586200
2023-08-25,14.140000,14.650000,14.010000,14.530000,14.530000,55668900
2023-08-28,14.690000,14.880000,14.500000,14.640000,14.640000,35964700
2023-08-29,14.600000,15.630000,14.500000,15.400000,15.400000,47213200
2023-08-30,15.460000,16.350000,15.330000,16.330000,16.330000,65674100
2023-08-31,15.600000,15.850000,14.650000,14.980000,14.980000,101517200
2023-09-01,15.160000,15.365000,14.830000,15.180000,15.180000,45107800
2023-09-05,15.080000,15.420000,14.900000,15.210000,15.210000,33818400
2023-09-06,15.170000,15.620000,15.080000,15.300000,15.300000,38738100
2023-09-07,14.880000,15.240000,14.290000,15.210000,15.210000,51798800
2023-09-08,15.120000,15.610000,15.085000,15.130000,15.130000,33862000
2023-09-11,15.410000,16.100000,15.360000,15.790000,15.790000,55294700
2023-09-12,15.460000,16.150000,15.430000,15.590000,15.590000,39497900
2023-09-13,15.630000,15.850000,15.420000,15.600000,15.600000,34354400
2023-09-14,15.690000,16.040001,15.470000,15.830000,15.830000,38572500
2023-09-15,15.770000,15.900000,15.170000,15.330000,15.330000,56161900
2023-09-18,15.180000,15.630000,15.070000,15.460000,15.460000,37404100
2023-09-19,15.340000,15.519000,14.950000,15.150000,15.150000,37804800
2023-09-20,15.250000,15.425000,14.733000,14.740000,14.740000,37640500
2023-09-21,14.340000,14.599000,13.680000,14.000000,14.000000,72831500
2023-09-22,14.230000,14.415000,14.030000,14.130000,14.130000,47714500
2023-09-25,14.000000,14.240000,13.820000,14.220000,14.220000,39693900
2023-09-26,13.950000,14.170000,13.880000,13.960000,13.960000,37276200
2023-09-27,14.200000,14.960000,14.160000,14.850000,14.850000,62780600
2023-09-28,15.140000,15.960000,14.825000,15.770000,15.770000,66590800
2023-09-29,16.110001,16.809999,15.960000,16.000000,16.000000,77919600
2023-10-02,16.030001,16.440001,15.770000,15.880000,15.880000,41043900
2023-10-03,15.610000,15.770000,14.820000,14.900000,14.900000,51578100
2023-10-04,15.460000,15.850000,15.160000,15.730000,15.730000,52786200
2023-10-05,15.560000,15.900000,15.410000,15.810000,15.810000,49648100
2023-10-06,15.560000,16.695000,15.510000,16.610001,16.610001,65511400
2023-10-09,16.250000,17.830000,16.219999,17.610001,17.610001,106161200
2023-10-10,18.059999,18.400000,17.620001,17.799999,17.799999,99971500
2023-10-11,17.870001,18.440001,17.730000,17.920000,17.920000,55745600
2023-10-12,17.920000,18.240000,17.551001,17.940001,17.940001,57940900
2023-10-13,18.059999,18.160000,17.270000,17.360001,17.360001,54541600
2023-10-16,17.209999,17.459999,16.670000,17.360001,17.360001,44987300
2023-10-17,17.000000,18.030001,16.910000,17.840000,17.840000,54401300
2023-10-18,17.809999,18.219999,17.190001,17.200001,17.200001,44208300
2023-10-19,17.440001,17.580000,16.969999,17.059999,17.059999,46303200
2023-10-20,16.850000,16.940001,15.810000,16.110001,16.110001,63738300
2023-10-23,15.900000,16.340000,15.210000,16.200001,16.200001,55967200
2023-10-24,16.379999,16.930000,16.299999,16.639999,16.639999,39833800
2023-10-25,16.570000,16.629999,15.580000,15.590000,15.590000,46706500
2023-10-26,15.600000,15.910000,15.050000,15.290000,15.290000,49351800
2023-10-27,15.480000,15.600000,14.960000,15.070000,15.070000,39820300
